Country,Code,Year,avg_years_of_schooling,Both sexes,Male,Female,Continent,suicides_per_100k,gdp
Germany,DEU,2003,12.5,89,117,60,Europe,181.24,"2,505,733,634,312"
France,FRA,2003,10.2,97,132,60,Europe,241.31,"1,840,480,812,641"
Sri Lanka,LKA,2003,10.2,147,207,85,Asia,352.75,"18,881,765,437"
Albania,ALB,2003,9.0,107,129,82,Europe,58.6,"5,746,945,913"
Austria,AUT,2003,9.6,86,113,58,Europe,257.06,"261,695,778,781"
Greece,GRC,2003,9.3,80,111,47,Europe,40.67,"201,924,270,316"
Grenada,GRD,2003,7.6,175,223,126,North America,69.18,"591,018,407"
Finland,FIN,2003,9.6,97,134,57,Europe,243.45000000000002,"171,071,106,095"
Spain,ESP,2003,8.6,82,115,48,Europe,116.49,"906,853,273,138"
Guatemala,GTM,2003,3.7,209,276,146,North America,37.34,"21,917,706,491"
Fiji,FJI,2003,9.3,220,265,171,Oceania,16.12,"2,315,935,753"
Australia,AUS,2003,11.8,69,88,50,Oceania,133.84,"466,294,700,058"
Guyana,GUY,2003,7.8,277,323,228,South America,382.54,"741,929,343"
South Africa,ZAF,2003,8.8,437,478,398,Africa,9.24,"175,256,916,996"
Hungary,HUN,2003,10.5,184,257,111,Europe,372.04,"85,324,771,841"
Estonia,EST,2003,11.9,197,289,105,Europe,338.24,"9,833,870,709"
Uzbekistan,UZB,2003,9.5,173,217,129,Asia,82.06,"10,128,112,401"
Azerbaijan,AZE,2003,10.6,151,199,104,Asia,27.07,"7,276,013,032"
Iceland,ISL,2003,9.8,63,73,52,Europe,100.97,"11,316,441,660"
Bahamas,BHS,2003,10.9,203,255,152,North America,2.49,"8,870,090,000"
Ireland,IRL,2003,11.4,80,100,60,Europe,134.77,"164,285,112,867"
El Salvador,SLV,2003,5.7,211,299,129,North America,128.92,"13,243,892,200"
Slovenia,SVN,2003,11.5,119,166,68,Europe,376.56,"29,697,448,108"
Slovakia,SVK,2003,10.4,143,207,78,Europe,169.16,"46,731,767,494"
Bahrain,BHR,2003,8.4,92,96,85,Asia,32.39,"11,074,822,074"
Ecuador,ECU,2003,7.1,146,185,107,South America,70.56,"32,432,858,000"
Antigua and Barbuda,ATG,2003,9.0,151,176,127,North America,27.82,"855,643,111"
Israel,ISR,2003,12.2,76,98,54,Asia,97.17,"126,864,966,909"
New Zealand,NZL,2003,11.6,81,99,64,Oceania,172.35,"88,250,885,550"
Canada,CAN,2003,11.7,77,96,58,North America,137.27,"892,380,986,368"
Argentina,ARG,2003,9.3,134,176,93,South America,146.29,"127,586,973,492"
Brazil,BRA,2003,6.2,172,230,113,South America,68.07,"558,319,920,832"
Trinidad and Tobago,TTO,2003,9.5,199,245,151,North America,158.25,"11,305,459,802"
Mexico,MEX,2003,7.1,136,171,101,North America,63.0,"729,336,319,677"
Malta,MLT,2003,8.5,66,81,51,Europe,74.94,"5,456,583,589"
Netherlands,NLD,2003,11.3,80,93,66,Europe,113.33,"571,863,431,151"
Philippines,PHL,2003,8.0,212,269,154,Asia,33.41,"83,908,206,648"
